【备注一】通用评估标准 ：未拆标、靓板、无水泡、无进水；折痕轻微水泡扣50，反常发黑水泡扣50。连体坏、进水、已拆标当损坏机处理。,,,,,,,,,
【备注二】功能机/老款标准 ：未拆标且成色好；能正常开机进系统测试，支架不流水、不脱胶割裂；如触摸坏当外壳坏，断线无背光当损坏，连体坏当损坏。,,,,,,,,,
【备注三】比例要求 ：要求正常通话比例。若比例不正常或指定单抽买板，按外单价格或另议。,,,,,,,,,
 国产屏/ 深板整机说明 ：末尾“点数系列”多为老款机型，后两列分别对应不开机与国产屏/整机回收价；其他机型第六列统一为“深板·整机”。 ,,,,,,,,,
================================================================================,,,,,,,,,
 系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机/国产,备注
R系列,1,R11t,175,175,175,175,175,175,
R系列,2,R11,175,175,175,175,175,175,三星屏
R系列,3,R9sk移动,135,135,135,135,135,135,
R系列,4,R9splus,70,70,70,70,70,70,
R系列,5,R9plus,70,70,70,70,70,70,
R系列,6,R9plus,70,70,70,70,70,70,
R系列,1,R9s移动,135,135,135,135,135,135,
R系列,2,R9s,135,135,135,135,135,135,三星屏
R系列,3,R9,135,135,135,135,135,135,三星屏
R系列,4,R9m,135,135,135,135,135,135,
R系列,5,R9tm,135,135,135,135,135,135,
R系列,6,R9sk,135,135,135,135,135,135,
R系列,1,R9km,135,135,135,135,135,135,
R系列,2,R8107,25,25,25,25,25,25,
R系列,3,R7s plus,120,120,120,120,120,120,
R系列,4,R7,25,25,25,25,25,25,三星屏
R系列,5,R7s,65,65,65,65,65,65,三星屏
R系列,6,R7sm,65,65,65,65,65,65,
R系列,7,R7plusm,70,70,70,70,70,70,
R系列,8,R7plus,45,45,45,45,45,45,三星屏
A系列,1,A97,230,230,230,230,230,230,
A系列,2,A96,230,230,230,230,230,230,没有屏幕扣10元
A系列,3,A95,230,230,230,230,230,230,【备注一】：未拆标/靓板无水泡/无进水，折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏；没有屏幕扣10元
A系列,4,A93S,230,230,230,230,230,230,主板架构第三位是3的为128g
A系列,5,A93,230,230,230,230,230,230,主板架构第三位是3的为128g
A系列,6,A92s,175,175,175,175,175,175,详见备注一
A系列,1,A91,175,175,175,175,175,175,PCPM00
A系列,2,A83移动,85,85,85,85,85,85,详见备注一
A系列,3,A83,85,85,85,85,85,85,详见备注一
A系列,4,A79k移动,140,140,140,140,140,140,
A系列,5,A79k,140,140,140,140,140,140,
A系列,6,A79移动,140,140,140,140,140,140,
A系列,1,A79,140,140,140,140,140,140,三星屏
A系列,2,A77移动,70,70,70,70,70,70,三星屏
A系列,3,A77,70,70,70,70,70,70,详见备注一
A系列,4,A73,100,100,100,100,100,100,详见备注一
A系列,5,A73t,100,100,100,100,100,100,详见备注一
A系列,6,A6,400,350,350,350,150,150,
A系列,1,A6s,500,400,400,400,200,200,
A系列,2,A6c,240,200,200,200,150,150,
A系列,3,A6i+,450,420,420,420,150,150,
A系列,4,A6s Pro,600,450,450,450,150,150,
A系列,5,A72,190,190,190,190,190,190,第一排第二个摄像头大小区别a53
A系列,6,A6 Max,450,370,370,370,150,150,
A系列,1,A6v,450,370,370,370,150,150,
A系列,2,A6k,450,370,370,370,150,150,
A系列,3,A5x,280,240,240,240,100,100,
A系列,4,A5 5g,280,240,240,240,170,170,
A系列,5,A5活力,280,280,280,280,150,150,
A系列,6,A59s,70,70,70,70,70,70,【备注二】：未拆标靓好；开机进功能，支架不流水，不割裂，触摸坏当爆壳坏，断线无背光当损坏，连体坏当损坏
A系列,1,A59m,70,70,70,70,70,70,
A系列,2,A59,70,70,70,70,70,70,详见备注二
A系列,3,A58x,100,100,100,100,100,100,a58x没有压伤
A系列,4,A58,180,180,180,180,180,180,
A系列,5,A57F,20,20,20,20,20,20,
A系列,6,A57新款,190,190,190,190,190,190,详见备注二
A系列,1,A57,60,60,60,60,60,60,详见备注二
A系列,2,A56,180,180,180,180,180,180,【备注一】：无拆标靓板无水泡/无进水折痕微水泡扣好，前摄像头坏、进水、拆标当损坏
A系列,3,A56s,180,180,180,180,180,180,
A系列,4,A55s,180,180,180,180,180,180,
A系列,5,A55,180,180,180,180,180,180,详见备注一
A系列,6,A54s(外单),75,75,75,75,75,75,
A系列,1,A53新款,180,180,180,180,180,180,摄像头小是A53，大的变A72
A系列,2,A52,175,175,175,175,175,175,详见备注一
