系列,序号,型号,开机靓好,开机屏好碎壳,开机屏坏/外碎,开机屏坏,不开机,深板·整机,备注
iQOO Z系列,1,iqoo Z10x,350,300,300,300,100,100,
iQOO Z系列,2,iqooZ9turbo竞速版,200,200,200,200,100,100,
iQOO Z系列,3,iqoo z9turbo+,200,200,200,200,100,100,
iQOO Z系列,4,iqoo z9turbo,200,200,200,200,100,100,
iQOO Z系列,5,iqoo Z9x,200,200,200,200,100,100,
iQOO Z系列,6,iqoo z9,200,200,200,200,100,100,
iQOO Z系列,7,iqoo z8x,240,240,240,240,240,240,
iQOO Z系列,1,IQOO Z8,240,240,240,240,240,240,
iQOO Z系列,2,IQOO Z7x,220,220,220,220,220,190,
iQOO Z系列,3,iqoo z7i,190,190,190,190,190,190,
iQOO Z系列,4,IQOO Z7,220,220,220,220,220,190,
iQOO Z系列,5,IQOO Z6,160,160,160,160,160,160,
iQOO Z系列,6,IQOO Z6x,190,190,190,190,190,190,
iQOO Z系列,1,IQOO Z5x,160,160,160,160,160,160,
iQOO Z系列,2,IQOO Z5,175,175,175,175,175,175,详见备注一
iQOO Z系列,3,IQOO Z3,175,175,175,175,175,175,详见备注一
iQOO Z系列,4,IQOO Z1x,165,165,165,165,165,165,详见备注一
iQOO Z系列,5,IQOO Z1,165,165,165,165,165,165,详见备注一
iQOO U系列,1,IQOO U5E,160,160,160,160,160,160,
iQOO U系列,2,IQOO U5X,150,150,150,150,150,150,
iQOO U系列,3,IQOO U5,160,160,160,160,160,160,详见备注一
iQOO U系列,4,IQOO U3x,160,160,160,160,160,160,保双通去一
iQOO U系列,5,IQOO U3,160,160,160,160,160,160,详见备注一
iQOO U系列,6,IQOO U1x,110,110,110,110,110,110,详见备注一
iQOO U系列,7,IQOO U1,110,110,110,110,110,110,详见备注一
NEX系列,1,NEX3S 5G,100,100,100,100,100,100,
NEX系列,2,NEX3 5G,100,100,100,100,100,100,
NEX系列,3,NEX3 4G,100,100,100,100,100,100,三星屏
NEX系列,4,NEXA,100,100,100,100,100,100,
NEX系列,5,NEX双屏版,100,100,100,100,100,100,三星屏
NEX系列,6,NEX屏幕下指纹,100,100,100,100,100,100,三星屏
NEX系列,7,NEX后置指纹,100,100,100,100,100,100,三星屏
NEX系列,8,NEX,100,100,100,100,100,100,三星屏
Z系列,1,Z6,150,150,150,150,150,150,"【备注一】未拆标靓板无水泡/无进水折痕微水泡扣50，反常发黑水泡扣50。连体坏、进水、拆标当损坏"
Z系列,2,Z5x,170,170,170,170,170,170,
Z系列,3,Z5i,180,180,180,180,180,180,
Z系列,4,Z5,120,120,120,120,120,120,"三星屏，扣口"
Z系列,5,Z3i,195,195,195,195,195,195,"详见备注二要求电好，带后盖好"
Z系列,6,Z3,130,130,130,130,130,130,详见备注二
Z系列,7,Z1青春,130,130,130,130,130,130,详见备注二
Z系列,8,Z1i,130,130,130,130,130,130,详见备注二
Z系列,9,Z1,130,130,130,130,130,130,详见备注二
Y系列,1,Y600 Turbo 5G,550,450,450,450,200,200,
Y系列,2,Y500i,500,400,300,300,150,150,
Y系列,3,Y500Pro,1400,1100,400,400,150,150,
Y系列,4,Y500,320,300,300,300,150,150,
Y系列,5,Y300 Pro+,300,300,300,300,150,150,
Y系列,6,Y300Pro,350,350,350,350,150,150,
Y系列,1,Y300 GT,300,300,300,300,150,150,
Y系列,2,y300,300,300,270,270,150,150,
Y系列,3,Y300t,300,280,280,280,150,150,
Y系列,4,y300i,380,380,380,380,150,150,
Y系列,5,Y200t+,230,230,230,230,230,230,
Y系列,6,y200gt,230,230,230,230,230,230,
Y系列,1,y200i,350,350,350,350,150,150,
Y系列,2,y200t,230,230,230,230,230,230,
Y系列,3,y200,230,230,230,230,230,230,
Y系列,4,y100t,230,230,230,230,230,230,
